mitre_id,name,description,aliases,techniques
S1162,Playcrypt,"[Playcrypt](https://attack.mitre.org/software/S1162) is a ransomware that has been used by [Play](https://attack.mitre.org/groups/G1040) since at least 2022 in attacks against against the business, government, critical infrastructure, healthcare, and media sectors in North America, South America, and Europe. [Playcrypt](https://attack.mitre.org/software/S1162) derives its name from adding the .play extension to encrypted files and has overlap with tactics and tools associated with Hive and Nokoy",Playcrypt|Play,T1083|T1486|T1490
S0252,Brave Prince,"[Brave Prince](https://attack.mitre.org/software/S0252) is a Korean-language implant that was first observed in the wild in December 2017. It contains similar code and behavior to [Gold Dragon](https://attack.mitre.org/software/S0249), and was seen along with [Gold Dragon](https://attack.mitre.org/software/S0249) and [RunningRAT](https://attack.mitre.org/software/S0253) in operations surrounding the 2018 Pyeongchang Winter Olympics. (Citation: McAfee Gold Dragon)",Brave Prince,T1012|T1016|T1048.003|T1057|T1082|T1083|T1685
S1244,Medusa Ransomware,"[Medusa Ransomware](https://attack.mitre.org/software/S1244) has been utilized in attacks since at least 2021. [Medusa Ransomware](https://attack.mitre.org/software/S1244) has been known to be utilized in conjunction with living off the land techniques and remote management software. [Medusa Ransomware](https://attack.mitre.org/software/S1244) has been used in campaigns associated with “double extortion” ransomware activity, where data is exfiltrated from victim environments prior to encryption,",Medusa Ransomware,T1007|T1027.013|T1057|T1059.001|T1059.003|T1070.004|T1082|T1083|T1106|T1124|T1135|T1140|T1486|T1489|T1490|T1518.001|T1543.003|T1559|T1564.003|T1679|T1680|T1685
S0629,RainyDay,[RainyDay](https://attack.mitre.org/software/S0629) is a backdoor tool that has been used by [Naikon](https://attack.mitre.org/groups/G0019) since at least 2020.(Citation: Bitdefender Naikon April 2021),RainyDay,T1005|T1007|T1008|T1027.013|T1036.004|T1036.005|T1053.005|T1057|T1059.003|T1070.004|T1071.001|T1074.001|T1083|T1090|T1095|T1105|T1106|T1113|T1140|T1543.003|T1555.003|T1555.004|T1567.002|T1573.001|T1574.001
S0624,Ecipekac,"[Ecipekac](https://attack.mitre.org/software/S0624) is a multi-layer loader that has been used by [menuPass](https://attack.mitre.org/groups/G0045) since at least 2019 including use as a loader for [P8RAT](https://attack.mitre.org/software/S0626), [SodaMaster](https://attack.mitre.org/software/S0627), and [FYAnti](https://attack.mitre.org/software/S0628).(Citation: Securelist APT10 March 2021)",Ecipekac|HEAVYHAND|SigLoader|DESLoader,T1027|T1105|T1140|T1553.002|T1574.001
S0622,AppleSeed,"[AppleSeed](https://attack.mitre.org/software/S0622) is a backdoor that has been used by [Kimsuky](https://attack.mitre.org/groups/G0094) to target South Korean government, academic, and commercial  targets since at least 2021.(Citation: Malwarebytes Kimsuky June 2021)",AppleSeed,T1005|T1008|T1016|T1025|T1027|T1027.002|T1030|T1036|T1036.005|T1041|T1056.001|T1057|T1059.001|T1059.007|T1070.004|T1071.001|T1074.001|T1082|T1083|T1106|T1113|T1119|T1124|T1134|T1140|T1204.002|T1218.010|T1547.001|T1560|T1560.001|T1566.001|T1567
S1118,BUSHWALK,[BUSHWALK](https://attack.mitre.org/software/S1118) is a web shell written in Perl that was inserted into the legitimate querymanifest.cgi file on compromised Ivanti Connect Secure VPNs during [Cutting Edge](https://attack.mitre.org/campaigns/C0029).(Citation: Mandiant Cutting Edge Part 2 January 2024)(Citation: Mandiant Cutting Edge Part 3 February 2024),BUSHWALK,T1027|T1105|T1140|T1205|T1505.003|T1554
S1048,macOS.OSAMiner,"[macOS.OSAMiner](https://attack.mitre.org/software/S1048) is a Monero mining trojan that was first observed in 2018; security researchers assessed [macOS.OSAMiner](https://attack.mitre.org/software/S1048) may have been circulating since at least 2015. [macOS.OSAMiner](https://attack.mitre.org/software/S1048) is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event (AEVT) analysis tools.(Citation: Sentin",macOS.OSAMiner,T1027.008|T1027.009|T1057|T1059.002|T1082|T1105|T1497.001|T1543.001|T1569.001|T1680|T1685
S0042,LOWBALL,[LOWBALL](https://attack.mitre.org/software/S0042) is malware used by [admin@338](https://attack.mitre.org/groups/G0018). It was used in August 2015 in email messages targeting Hong Kong-based media organizations. (Citation: FireEye admin@338),LOWBALL,T1071.001|T1102.002|T1105
S0198,NETWIRE,"[NETWIRE](https://attack.mitre.org/software/S0198) is a publicly available, multiplatform remote administration tool (RAT) that has been used by criminal and APT groups since at least 2012.(Citation: FireEye APT33 Sept 2017)(Citation: McAfee Netwire Mar 2015)(Citation: FireEye APT33 Webinar Sept 2017)",NETWIRE,T1010|T1016|T1027|T1027.002|T1027.011|T1036.001|T1036.005|T1049|T1053.003|T1053.005|T1055|T1055.012|T1056.001|T1057|T1059.001|T1059.003|T1059.004|T1059.005|T1071.001|T1074.001|T1082|T1083|T1090|T1095|T1102|T1105|T1106|T1112|T1113|T1119|T1204.001|T1204.002|T1543.001|T1547.001|T1547.013|T1547.015|T1555|T1555.003|T1560|T1560.003|T1564.001|T1566.001|T1566.002|T1573|T1573.001
S0668,TinyTurla,"[TinyTurla](https://attack.mitre.org/software/S0668) is a backdoor that has been used by [Turla](https://attack.mitre.org/groups/G0010) against targets in the US, Germany, and Afghanistan since at least 2020.(Citation: Talos TinyTurla September 2021)",TinyTurla,T1005|T1008|T1012|T1027.011|T1029|T1036.004|T1036.005|T1059.003|T1071.001|T1105|T1106|T1112|T1569.002|T1573.002
S1032,PyDCrypt,"[PyDCrypt](https://attack.mitre.org/software/S1032) is malware written in Python designed to deliver [DCSrv](https://attack.mitre.org/software/S1033). It has been used by [Moses Staff](https://attack.mitre.org/groups/G1009) since at least September 2021, with each sample tailored for its intended victim organization.(Citation: Checkpoint MosesStaff Nov 2021)",PyDCrypt,T1027.013|T1033|T1036.005|T1047|T1049|T1059.001|T1059.003|T1059.006|T1070.004|T1140|T1686
S1203,J-magic,"[J-magic](https://attack.mitre.org/software/S1203) is a custom variant of the [cd00r](https://attack.mitre.org/software/S1204) backdoor tailored to target Juniper routers that was first observed during the [J-magic Campaign](https://attack.mitre.org/campaigns/C0050) in mid-2023. [J-magic](https://attack.mitre.org/software/S1203) monitors TCP traffic for five predefined parameters or ""magic packets"" to be sent by the attackers before activating on compromised devices.(Citation: Lumen J-Magic JAN ",J-magic,T1016|T1036.005|T1040|T1059.004|T1070.003|T1095|T1205|T1573.002
S1173,PowerExchange,[PowerExchange](https://attack.mitre.org/software/S1173) is a PowerShell backdoor that has been used by [OilRig](https://attack.mitre.org/groups/G0049) since at least 2023 including against government targets in the Middle East.(Citation: Symantec Crambus OCT 2023),PowerExchange,T1041|T1059.001|T1071.003|T1105|T1140
S1226,BOOKWORM,"[BOOKWORM](https://attack.mitre.org/software/S1226) is a modular trojan known to be leveraged by [Mustang Panda](https://attack.mitre.org/groups/G0129) and was first observed utilized in 2015.  [BOOKWORM](https://attack.mitre.org/software/S1226) was later updated in late 2021 and the fall of 2022 to launch shellcode represented as UUID parameters. (Citation: Broadcom)(Citation: Unit42 Bookworm Nov2015)(Citation: Palo Alto Networks, Unit 42)",BOOKWORM,T1001.003|T1027|T1027.013|T1033|T1036.004|T1056.001|T1070.006|T1071.001|T1106|T1112|T1115|T1140|T1543.003|T1553.002|T1564.003|T1573.001|T1574.001
S0537,HyperStack,[HyperStack](https://attack.mitre.org/software/S0537) is a RPC-based backdoor used by [Turla](https://attack.mitre.org/groups/G0010) since at least 2018. [HyperStack](https://attack.mitre.org/software/S0537) has similarities to other backdoors used by [Turla](https://attack.mitre.org/groups/G0010) including [Carbon](https://attack.mitre.org/software/S0335).(Citation: Accenture HyperStack October 2020),HyperStack,T1078.001|T1087.001|T1106|T1112|T1559|T1573.001
S0278,iKitten,[iKitten](https://attack.mitre.org/software/S0278) is a macOS exfiltration agent  (Citation: objsee mac malware 2017).,iKitten|OSX/MacDownloader,T1016|T1037.004|T1056.002|T1057|T1555.001|T1560.001|T1564.001
S0037,HAMMERTOSS,[HAMMERTOSS](https://attack.mitre.org/software/S0037) is a backdoor that was used by [APT29](https://attack.mitre.org/groups/G0016) in 2015. (Citation: FireEye APT29) (Citation: F-Secure The Dukes),HAMMERTOSS|HammerDuke|NetDuke,T1001.002|T1059.001|T1071.001|T1102.003|T1564.003|T1567.002|T1573.001
S0138,OLDBAIT,[OLDBAIT](https://attack.mitre.org/software/S0138) is a credential harvester used by [APT28](https://attack.mitre.org/groups/G0007). (Citation: FireEye APT28) (Citation: FireEye APT28 January 2017),OLDBAIT|Sasfis,T1027|T1036.005|T1071.001|T1071.003|T1555|T1555.003
S0606,Bad Rabbit,[Bad Rabbit](https://attack.mitre.org/software/S0606) is a self-propagating ransomware that affected the Ukrainian transportation sector in 2017. [Bad Rabbit](https://attack.mitre.org/software/S0606) has also targeted organizations and consumers in Russia. (Citation: Secure List Bad Rabbit)(Citation: ESET Bad Rabbit)(Citation: Dragos Apr 2019),Bad Rabbit|Win32/Diskcoder.D,T1003.001|T1036.005|T1053.005|T1057|T1106|T1110.003|T1135|T1189|T1204.002|T1210|T1218.011|T1486|T1495|T1548.002|T1569.002
S0050,CosmicDuke,[CosmicDuke](https://attack.mitre.org/software/S0050) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2010 to 2015. (Citation: F-Secure The Dukes),CosmicDuke|TinyBaron|BotgenStudios|NemesisGemina,T1003.002|T1003.004|T1005|T1020|T1025|T1039|T1048.003|T1053.005|T1056.001|T1068|T1071.001|T1083|T1113|T1114.001|T1115|T1543.003|T1555|T1555.003|T1573.001
S0152,EvilGrab,[EvilGrab](https://attack.mitre.org/software/S0152) is a malware family with common reconnaissance capabilities. It has been deployed by [menuPass](https://attack.mitre.org/groups/G0045) via malicious Microsoft Office documents as part of spearphishing campaigns. (Citation: PWC Cloud Hopper Technical Annex April 2017),EvilGrab,T1056.001|T1113|T1123|T1125|T1547.001
S0634,EnvyScout,[EnvyScout](https://attack.mitre.org/software/S0634) is a dropper that has been used by [APT29](https://attack.mitre.org/groups/G0016) since at least 2021.(Citation: MSTIC Nobelium Toolset May 2021),EnvyScout,T1005|T1027.006|T1027.013|T1036|T1059.003|T1059.007|T1082|T1140|T1187|T1204.002|T1218.011|T1480|T1564.001|T1566.001
S9022,MirrorStealer,"[MirrorStealer](https://attack.mitre.org/software/S9022) is a credential stealer that has been used by [MirrorFace](https://attack.mitre.org/groups/G1054) since at least 2022 to steal credentials from various applications, including browsers and email clients. [MirrorStealer](https://attack.mitre.org/software/S9022) has been delivered directly into system memory via commands issued by [LODEINFO](https://attack.mitre.org/software/S9020).(Citation: ESET MirrorFace DEC 2022)",MirrorStealer,T1074.001|T1552.006|T1555|T1555.003
S0058,SslMM,[SslMM](https://attack.mitre.org/software/S0058) is a full-featured backdoor used by [Naikon](https://attack.mitre.org/groups/G0019) that has multiple variants. (Citation: Baumgartner Naikon 2015),SslMM,T1008|T1033|T1036.005|T1056.001|T1082|T1134|T1547.001|T1547.009|T1685
S1238,STATICPLUGIN,[STATICPLUGIN](https://attack.mitre.org/software/S1238) is a downloader known to be leveraged by [Mustang Panda](https://attack.mitre.org/groups/G0129) and was first observed utilized in 2025.  [STATICPLUGIN](https://attack.mitre.org/software/S1238) has utilized a valid certificate in order to bypass endpoint security protections.  [STATICPLUGIN](https://attack.mitre.org/software/S1238) masqueraded as legitimate software installer by using a custom TForm.  [STATICPLUGIN](https://attack.mitre.org,STATICPLUGIN,T1036.005|T1036.008|T1204.002|T1553.002|T1559.001
S1152,IMAPLoader,[IMAPLoader](https://attack.mitre.org/software/S1152) is a .NET-based loader malware exclusively associated with [CURIUM](https://attack.mitre.org/groups/G1012) operations since at least 2022. [IMAPLoader](https://attack.mitre.org/software/S1152) leverages email protocols for command and control and payload delivery.(Citation: PWC Yellow Liderc 2023),IMAPLoader,T1047|T1053.005|T1071.003|T1082|T1105|T1106|T1543|T1564.003|T1574.014
S0342,GreyEnergy,[GreyEnergy](https://attack.mitre.org/software/S0342) is a backdoor written in C and compiled in Visual Studio. [GreyEnergy](https://attack.mitre.org/software/S0342) shares similarities with the [BlackEnergy](https://attack.mitre.org/software/S0089) malware and is thought to be the successor of it.(Citation: ESET GreyEnergy Oct 2018),GreyEnergy,T1003.001|T1007|T1027.002|T1027.013|T1055.002|T1056.001|T1059.003|T1070.004|T1071.001|T1090.003|T1105|T1112|T1218.011|T1543.003|T1553.002|T1573.001|T1573.002
S0209,Darkmoon,,Darkmoon,
S1198,Gomir,"Gomir is a Linux backdoor variant of the Go-based malware [GoBear](https://attack.mitre.org/software/S1197), uniquely assoicated with [Kimsuky](https://attack.mitre.org/groups/G0094) operations.(Citation: Symantec Troll Stealer 2024)",Gomir,T1016|T1018|T1053.003|T1059.004|T1069.001|T1070.004|T1071.001|T1082|T1083|T1090.001|T1132.001|T1543.002|T1573|T1573.002
S0456,Aria-body,[Aria-body](https://attack.mitre.org/software/S0456) is a custom backdoor that has been used by [Naikon](https://attack.mitre.org/groups/G0019) since approximately 2017.(Citation: CheckPoint Naikon May 2020),Aria-body,T1010|T1016|T1025|T1027.013|T1033|T1049|T1055.001|T1057|T1070.004|T1071.001|T1082|T1083|T1090|T1095|T1105|T1106|T1113|T1134.001|T1134.002|T1140|T1547.001|T1560|T1568.002|T1680
S0367,Emotet,"[Emotet](https://attack.mitre.org/software/S0367) is a modular malware variant which is primarily used as a downloader for other malware variants such as [TrickBot](https://attack.mitre.org/software/S0266) and [IcedID](https://attack.mitre.org/software/S0483). Emotet first emerged in June 2014, initially targeting the financial sector, and has expanded to multiple verticals over time.(Citation: Trend Micro Banking Malware Jan 2019)",Emotet|Geodo,T1003.001|T1016.002|T1021.002|T1027.001|T1027.002|T1027.009|T1027.010|T1027.013|T1033|T1036.004|T1040|T1041|T1047|T1053.005|T1055.001|T1055.012|T1057|T1059.001|T1059.003|T1059.005|T1071.001|T1078.003|T1087.003|T1105|T1106|T1110.001|T1114|T1114.001|T1132.001|T1134.001|T1135|T1140|T1204.001|T1204.002|T1210|T1218.010|T1543.003|T1547.001|T1552.001|T1555.003|T1566.001|T1566.002|T1570|T1571|T1573|T1573.001|T1620
S0159,SNUGRIDE,[SNUGRIDE](https://attack.mitre.org/software/S0159) is a backdoor that has been used by [menuPass](https://attack.mitre.org/groups/G0045) as first stage malware. (Citation: FireEye APT10 April 2017),SNUGRIDE,T1059.003|T1071.001|T1547.001|T1573.001
S0365,Olympic Destroyer,"[Olympic Destroyer](https://attack.mitre.org/software/S0365) is malware that was used by [Sandworm Team](https://attack.mitre.org/groups/G0034) against the 2018 Winter Olympics, held in Pyeongchang, South Korea. The main purpose of the malware was to render infected computer systems inoperable. The malware leverages various native Windows utilities and API calls to carry out its destructive tasks. [Olympic Destroyer](https://attack.mitre.org/software/S0365) has worm-like features to spread itsel",Olympic Destroyer,T1003.001|T1016|T1018|T1021.002|T1047|T1135|T1485|T1489|T1490|T1529|T1555.003|T1569.002|T1570|T1685.005
S1184,BOLDMOVE,"[BOLDMOVE](https://attack.mitre.org/software/S1184) is a type of backdoor malware written in C linked to People’s Republic of China operations from 2022 through 2023. [BOLDMOVE](https://attack.mitre.org/software/S1184) includes both Windows and Linux variants, with some Linux variants specifically designed for FortiGate Firewall devices. [BOLDMOVE](https://attack.mitre.org/software/S1184) is linked to zero-day exploitation of CVE-2022-42475 in FortiOSS SSL-VPNs.(Citation: Google Cloud BOLDMOVE 2",BOLDMOVE,T1016|T1059.004|T1070.004|T1071.001|T1082|T1083|T1090.003|T1190|T1480|T1543|T1554|T1564.011|T1573.002|T1685
S0115,Crimson,[Crimson](https://attack.mitre.org/software/S0115) is a remote access Trojan that has been used by [Transparent Tribe](https://attack.mitre.org/groups/G0134) since at least 2016.(Citation: Proofpoint Operation Transparent Tribe March 2016)(Citation: Kaspersky Transparent Tribe August 2020),Crimson|MSIL/Crimson,T1005|T1012|T1016|T1025|T1033|T1041|T1056.001|T1057|T1059.003|T1070.004|T1071.001|T1082|T1083|T1091|T1095|T1105|T1112|T1113|T1114.001|T1120|T1123|T1124|T1125|T1140|T1497.003|T1518.001|T1547.001|T1555.003|T1614|T1680
S0671,Tomiris,[Tomiris](https://attack.mitre.org/software/S0671) is a backdoor written in Go that continuously queries its C2 server for executables to download and execute on a victim system. It was first reported in September 2021 during an investigation of a successful DNS hijacking campaign against a Commonwealth of Independent States (CIS) member. Security researchers assess there are similarities between [Tomiris](https://attack.mitre.org/software/S0671) and [GoldMax](https://attack.mitre.org/software/S,Tomiris,T1005|T1027.002|T1041|T1053.005|T1071.001|T1105|T1497.003|T1568
S0560,TEARDROP,[TEARDROP](https://attack.mitre.org/software/S0560) is a memory-only dropper that was discovered on some victim machines during investigations related to the [SolarWinds Compromise](https://attack.mitre.org/campaigns/C0024). It was likely used by [APT29](https://attack.mitre.org/groups/G0016) since at least May 2020.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Microsoft Deep Dive Solorigate January 2021),TEARDROP,T1012|T1027|T1036.005|T1112|T1140|T1543.003
S1159,DUSTTRAP,[DUSTTRAP](https://attack.mitre.org/software/S1159) is a multi-stage plugin framework associated with [APT41](https://attack.mitre.org/groups/G0096) operations with multiple components.(Citation: Google Cloud APT41 2024),DUSTTRAP,T1005|T1010|T1012|T1016|T1018|T1027.009|T1027.013|T1041|T1055|T1056.001|T1057|T1059.003|T1070|T1070.005|T1082|T1083|T1087.001|T1087.002|T1105|T1113|T1124|T1135|T1140|T1482|T1497.001|T1518.001|T1615|T1654|T1685.005
S9038,DynoWiper,[DynoWiper](https://attack.mitre.org/software/S9038) is a destructive malware associated with the [2025 Poland Wiper Attacks](https://attack.mitre.org/campaigns/C0063) in December of 2025. [DynoWiper](https://attack.mitre.org/software/S9038) is a native Windows binary that is distributed by a PowerShell script and overwrites files using data generated by the Mersenne Twister algorithm before they are deleted from the system. Multiple variants of [DynoWiper](https://attack.mitre.org/software/S903,DynoWiper,T1036|T1083|T1106|T1120|T1485|T1529|T1678|T1679|T1680
S0647,Turian,"[Turian](https://attack.mitre.org/software/S0647) is a backdoor that has been used by [BackdoorDiplomacy](https://attack.mitre.org/groups/G0135) to target Ministries of Foreign Affairs, telecommunication companies, and charities in Africa, Europe, the Middle East, and Asia. First reported in 2021, [Turian](https://attack.mitre.org/software/S0647) is likely related to Quarian, an older backdoor that was last observed being used in 2013 against diplomatic targets in Syria and the United States.(Ci",Turian,T1001.001|T1016|T1027|T1033|T1036.004|T1059.003|T1059.004|T1059.006|T1071.001|T1074.001|T1082|T1083|T1105|T1113|T1120|T1140|T1547.001|T1560.001
S1223,THINCRUST,[THINCRUST](https://attack.mitre.org/software/S1223) is a Python-based backdoor tool that has been used by [UNC3886](https://attack.mitre.org/groups/G1048) since at least 2023.(Citation: Mandiant Fortinet Zero Day),THINCRUST,T1059.006|T1071.001|T1140|T1573.001|T1686
S1081,BADHATCH,"[BADHATCH](https://attack.mitre.org/software/S1081) is a backdoor that has been utilized by [FIN8](https://attack.mitre.org/groups/G0061) since at least 2019. [BADHATCH](https://attack.mitre.org/software/S1081) has been used to target the insurance, retail, technology, and chemical industries in the United States, Canada, South Africa, Panama, and Italy.(Citation: Gigamon BADHATCH Jul 2019)(Citation: BitDefender BADHATCH Mar 2021)",BADHATCH,T1018|T1027.009|T1027.010|T1027.015|T1033|T1041|T1046|T1047|T1049|T1053.005|T1055|T1055.001|T1055.004|T1057|T1059.001|T1059.003|T1069.002|T1070.004|T1071.001|T1071.002|T1082|T1090|T1102|T1105|T1106|T1113|T1124|T1134.001|T1135|T1482|T1546.003|T1548.002|T1550.002|T1573.002|T1620
S0409,Machete,[Machete](https://attack.mitre.org/software/S0409) is a cyber espionage toolset used by [Machete](https://attack.mitre.org/groups/G0095). It is a Python-based backdoor targeting Windows machines that was first observed in 2010.(Citation: ESET Machete July 2019)(Citation: Securelist Machete Aug 2014)(Citation: 360 Machete Sep 2020),Machete|Pyark,T1005|T1008|T1010|T1016|T1016.002|T1020|T1025|T1027.002|T1027.010|T1029|T1036.004|T1036.005|T1041|T1052.001|T1053.005|T1056.001|T1057|T1059.006|T1070.004|T1071.001|T1071.002|T1074.001|T1082|T1083|T1105|T1113|T1115|T1120|T1123|T1125|T1132.001|T1140|T1217|T1547.001|T1552.004|T1555.003|T1560|T1560.003|T1564.001|T1573.001|T1573.002
S1012,PowerLess,[PowerLess](https://attack.mitre.org/software/S1012) is a PowerShell-based modular backdoor that has been used by [Magic Hound](https://attack.mitre.org/groups/G0059) since at least 2022.(Citation: Cybereason PowerLess February 2022),PowerLess,T1005|T1056.001|T1059.001|T1074.001|T1105|T1140|T1217|T1560|T1573
S1028,Action RAT,[Action RAT](https://attack.mitre.org/software/S1028) is a  remote access tool written in Delphi that has been used by [SideCopy](https://attack.mitre.org/groups/G1008) since at least December 2021 against Indian and Afghani government personnel.(Citation: MalwareBytes SideCopy Dec 2021),Action RAT,T1005|T1016|T1027|T1033|T1047|T1059.003|T1071.001|T1082|T1083|T1105|T1140|T1518.001
S0473,Avenger,[Avenger](https://attack.mitre.org/software/S0473) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),Avenger,T1016|T1027.003|T1027.013|T1055|T1057|T1071.001|T1082|T1083|T1105|T1140|T1518.001|T1680
S1158,DUSTPAN,[DUSTPAN](https://attack.mitre.org/software/S1158) is an in-memory dropper written in C/C++ used by [APT41](https://attack.mitre.org/groups/G0096) since 2021 that decrypts and executes an embedded payload.(Citation: Google Cloud APT41 2024)(Citation: Google Cloud APT41 2022),DUSTPAN,T1027.009|T1027.013|T1036.005|T1055.002|T1140|T1543.003
S0113,Prikormka,[Prikormka](https://attack.mitre.org/software/S0113) is a malware family used in a campaign known as Operation Groundbait. It has predominantly been observed in Ukraine and was used as early as 2008. (Citation: ESET Operation Groundbait),Prikormka,T1016|T1025|T1027.013|T1033|T1056.001|T1070.004|T1074.001|T1082|T1083|T1113|T1120|T1132.001|T1218.011|T1518.001|T1547.001|T1555|T1555.003|T1560|T1573.001|T1574.001
S1228,PUBLOAD,"[PUBLOAD](https://attack.mitre.org/software/S1228) is a stager malware that has been observed installing itself in existing directories such as `C:\Users\Public` or creating new directories to stage the malware and its components.(Citation: 2022 November_TrendMicro_Earth Preta_Toneshell_Pubload)  [PUBLOAD](https://attack.mitre.org/software/S1228) malware collects details of the victim host, establishes persistence, encrypts victim details using RC4 and communicates victim details back to C2.  [P",PUBLOAD,T1001.003|T1007|T1012|T1016|T1016.001|T1016.002|T1027|T1027.015|T1033|T1036.005|T1047|T1048.003|T1049|T1053.005|T1057|T1059.003|T1071.001|T1071.002|T1082|T1105|T1106|T1124|T1140|T1205|T1480.001|T1518|T1518.001|T1547.001|T1553.002|T1560.001|T1573.001|T1574.001|T1614.001|T1622|T1680
S9001,SystemBC,"[SystemBC](https://attack.mitre.org/software/S9001) is a malware family offered as a malware-as-a-service (MaaS) that is used to establish command and control and facilitate follow-on activity, including ransomware deployment.[SystemBC](https://attack.mitre.org/software/S9001) executes a variety of tasks including setting up SOCKS5 proxies, maintaining persistence, ingesting malicious files, and handing C2 communication. [SystemBC](https://attack.mitre.org/software/S9001) was first detected in 2",SystemBC|Coroxy,T1001|T1053.005|T1057|T1059.001|T1059.003|T1059.005|T1071.004|T1082|T1087.001|T1090.003|T1095|T1105|T1106|T1124|T1140|T1480|T1564.003|T1571|T1573.001|T1620|T1678
S1138,Gootloader,"[Gootloader](https://attack.mitre.org/software/S1138) is a Javascript-based infection framework that has been used since at least 2020 as a delivery method for the Gootkit banking trojan, [Cobalt Strike](https://attack.mitre.org/software/S0154), [REvil](https://attack.mitre.org/software/S0496), and others. [Gootloader](https://attack.mitre.org/software/S1138) operates on an ""Initial Access as a Service"" model and has leveraged [SEO Poisoning](https://attack.mitre.org/techniques/T1608/006) to pro",Gootloader,T1016|T1027|T1055.002|T1055.012|T1059.001|T1059.007|T1069.002|T1082|T1105|T1132.001|T1140|T1204.001|T1497.003|T1547.001|T1584.001|T1584.006|T1614|T1614.001
S1031,PingPull,"[PingPull](https://attack.mitre.org/software/S1031) is a remote access Trojan (RAT) written in Visual C++ that has been used by [GALLIUM](https://attack.mitre.org/groups/G0093) since at least June 2022. [PingPull](https://attack.mitre.org/software/S1031) has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam.(Citation: Unit 42 PingPull Jun 2022)",PingPull,T1005|T1016|T1036.004|T1041|T1059.003|T1070.006|T1071.001|T1082|T1083|T1095|T1132.001|T1140|T1543.003|T1571|T1573.001
S0514,WellMess,[WellMess](https://attack.mitre.org/software/S0514) is lightweight malware family with variants written in .NET and Golang that has been in use since at least 2018 by [APT29](https://attack.mitre.org/groups/G0016).(Citation: CISA WellMess July 2020)(Citation: PWC WellMess July 2020)(Citation: NCSC APT29 July 2020),WellMess,T1001.001|T1005|T1016|T1033|T1059.001|T1059.003|T1069.002|T1071.001|T1071.004|T1082|T1105|T1132.001|T1140|T1573.001|T1573.002
S0497,Dacls,[Dacls](https://attack.mitre.org/software/S0497) is a multi-platform remote access tool used by [Lazarus Group](https://attack.mitre.org/groups/G0032) since at least December 2019.(Citation: TrendMicro macOS Dacls May 2020)(Citation: SentinelOne Lazarus macOS July 2020),Dacls,T1027.013|T1036|T1057|T1071.001|T1083|T1105|T1543.001|T1543.004|T1564.001
S0547,DropBook,[DropBook](https://attack.mitre.org/software/S0547) is a Python-based backdoor compiled with PyInstaller.(Citation: Cybereason Molerats Dec 2020),DropBook,T1059.003|T1059.006|T1082|T1083|T1102|T1105|T1140|T1567|T1614.001
S1065,Woody RAT, [Woody RAT](https://attack.mitre.org/software/S1065) is a remote access trojan (RAT) that has been used since at least August 2021 against Russian organizations.(Citation: MalwareBytes WoodyRAT Aug 2022),Woody RAT,T1005|T1012|T1016|T1016.001|T1027.013|T1033|T1041|T1055|T1055.012|T1057|T1059.001|T1059.003|T1070.004|T1071.001|T1082|T1083|T1087|T1105|T1106|T1113|T1140|T1203|T1204.002|T1518|T1518.001|T1566.001|T1573.001|T1573.002|T1680|T1685
S1060,Mafalda,[Mafalda](https://attack.mitre.org/software/S1060) is a flexible interactive implant that has been used by [Metador](https://attack.mitre.org/groups/G1013). Security researchers assess the [Mafalda](https://attack.mitre.org/software/S1060) name may be inspired by an Argentinian cartoon character that has been popular as a means of political commentary since the 1960s. (Citation: SentinelLabs Metador Sept 2022),Mafalda,T1003.001|T1005|T1012|T1016|T1027.013|T1033|T1041|T1049|T1056|T1057|T1059.001|T1059.003|T1071.001|T1074.001|T1082|T1083|T1090.001|T1095|T1105|T1106|T1112|T1113|T1132.001|T1133|T1134|T1134.003|T1140|T1205.001|T1217|T1518.001|T1552.004|T1569.002|T1573.001|T1622|T1680|T1685.005
S0215,KARAE,[KARAE](https://attack.mitre.org/software/S0215) is a backdoor typically used by [APT37](https://attack.mitre.org/groups/G0067) as first-stage malware. (Citation: FireEye APT37 Feb 2018),KARAE,T1082|T1102.002|T1105|T1189
S1030,Squirrelwaffle,[Squirrelwaffle](https://attack.mitre.org/software/S1030) is a loader that was first seen in September 2021. It has been used in spam email campaigns to deliver additional malware such as [Cobalt Strike](https://attack.mitre.org/software/S0154) and the [QakBot](https://attack.mitre.org/software/S0650) banking trojan.(Citation: ZScaler Squirrelwaffle Sep 2021)(Citation: Netskope Squirrelwaffle Oct 2021),Squirrelwaffle,T1016|T1027.002|T1027.013|T1033|T1041|T1059.001|T1059.003|T1059.005|T1071.001|T1082|T1105|T1132.001|T1140|T1204.001|T1204.002|T1218.010|T1218.011|T1497|T1560.003|T1566.001|T1566.002
